peak_size_allocated,total_size_allocated,total_number_of_allocations,current_size_allocated,current_number_of_allocations,freed_allocation_size,vm_peak_bytes,vm_size_bytes,vm_rss_bytes,vm_hwm_bytes,vm_data_bytes,vm_stk_bytes,vm_exe_bytes,vm_lib_bytes
0,0,0,0,0,0,7069696,7069696,3887104,3887104,352256,135168,28672,3948544
301285,1973729,6460,124076,2920,1849653,7499776,7499776,4632576,4632576,782336,135168,28672,3948544
735893,4766064,13025,258913,6050,4507151,8081408,7847936,4988928,5111808,1130496,135168,28672,3948544
4097397,9984532,18999,329203,7998,9655329,11751424,7987200,5185536,8773632,1269760,135168,28672,3948544
4097397,12391108,24000,310486,8000,12080622,11751424,8896512,6029312,8773632,2179072,135168,28672,3948544
4097397,14294745,29000,296317,8000,13998428,11751424,8896512,6029312,8773632,2179072,135168,28672,3948544
5741452,21971131,33999,288231,7998,21682900,14557184,9101312,6234112,11337728,2383872,135168,28672,3948544
5741452,23864227,39000,282821,8000,23581406,14557184,9101312,6234112,11337728,2383872,135168,28672,3948544
5741452,26068544,43999,279031,7998,25789513,14557184,9101312,6234112,11337728,2383872,135168,28672,3948544
5741452,27603339,49000,276037,8000,27327302,14557184,9101312,6234112,11337728,2383872,135168,28672,3948544
5741452,29142421,54000,273746,8000,28868675,14557184,9101312,6234112,11337728,2383872,135168,28672,3948544
5741452,29142421,54000,0,0,29142421,14557184,9101312,6234112,11337728,2383872,135168,28672,3948544
